Punto geográfico	P1. En general, en su Barrio usted se siente:	P2. Con relación a hace un año, cómo se siente usted actualmente en este Barrio	P3. En general, en su Comuna o Corregimiento usted se siente:	P4. Con relación a hace un año, cómo se siente usted actualmente en esta Comuna o Corregimiento	P5. En general, en Medellín, usted se siente:	P6. Con relación a hace un año, cómo se siente usted actualmente en Medellín
POINT (-75.6068 6.22649)	2	0	2	0	2	0
POINT (-75.5835 6.20269)	2	0	2	0	3	0
POINT (-75.5866 6.22736)	2	4	2	4	3	4
POINT (-75.5815 6.22028)	2	0	2	0	3	0
POINT (-75.588 6.22142)	3	4	3	4	1	4
POINT (-75.6068 6.22649)	1	0	2	0	2	0
POINT (-75.5836 6.20321)	2	0	3	0	2	0
POINT (-75.5826 6.223)	2	0	2	0	3	0
POINT (-75.6134 6.2071323)	2	0	2	0	3	4
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.5868 6.20219)	2	0	2	0	2	0
POINT (-75.5868 6.20219)	2	1	2	1	2	0
POINT (-75.5835 6.20269)	2	0	2	0	2	0
POINT (-75.588 6.22142)	2	0	3	4	3	0
POINT (-75.5845 6.20359)	3	4	3	4	3	4
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.5835 6.20269)	2	1	2	1	2	0
POINT (-75.5815 6.22028)	1	0	1	0	1	0
POINT (-75.5868 6.20219)	2	0	2	0	2	0
POINT (-75.5932 6.20052)	2	0	2	0	2	0
POINT (-75.5845 6.20359)	2	0	2	0	1	0
POINT (-75.5946 6.2011)	2	0	2	0	2	0
POINT (-75.5836 6.20321)	2	0	2	0	3	0
POINT (-75.5836 6.20321)	2	0	2	4	3	4
POINT (-75.592 6.19969)	2	0	2	0	3	0
POINT (-75.5866 6.22218)	2	0	3	0	2	0
POINT (-75.5866 6.22218)	2	0	1	1	2	1
POINT (-75.6134 6.2071323)	2	1	2	0	3	0
POINT (-75.6134 6.2071323)	1	0	2	0	2	0
POINT (-75.5881 6.22218)	2	0	2	0	3	1
POINT (-75.5857 6.22265)	2	0	2	0	4	0
POINT (-75.5869 6.22182)	2	0	2	0	2	0
POINT (-75.5843 6.20406)	3	0	2	0	2	0
POINT (-75.5843 6.20406)	2	0	2	0	3	0
POINT (-75.5843 6.20406)	2	4	2	4	3	0
POINT (-75.5843 6.20406)	2	0	2	0	3	0
POINT (-75.5866 6.22736)	2	0	2	0	2	0
POINT (-75.5866 6.22736)	1	0	1	0	2	0
POINT (-75.5866 6.22736)	2	0	2	0	2	0
POINT (-75.5866 6.22736)	2	0	2	1	3	0
POINT (-75.591 6.23072)	2	0	3	4	3	4
POINT (-75.5946 6.2011)	2	0	2	0	2	1
POINT (-75.5826 6.223)	2	0	2	0	2	0
POINT (-75.5826 6.223)	2	0	2	0	3	0
POINT (-75.588 6.22142)	2	4	4	4	4	4
POINT (-75.5987 6.2269)	2	0	2	0	1	4
POINT (-75.5987 6.2269)	2	1	2	1	2	1
POINT (-75.5987 6.2269)	1	0	0	0	0	0
POINT (-75.5868 6.20219)	2	0	2	0	2	1
POINT (-75.5842 6.22792)	1	0	2	0	2	1
POINT (-75.5842 6.22792)	2	4	1	0	3	4
POINT (-75.5898 6.21031)	3	4	3	4	3	4
POINT (-75.5898 6.21031)	2	4	2	4	3	4
POINT (-75.5823 6.22525)	2	0	2	0	2	0
POINT (-75.5823 6.22525)	2	0	3	0	4	0
POINT (-75.5823 6.22525)	2	0	2	0	3	0
POINT (-75.5823 6.22525)	2	0	2	0	2	0
POINT (-75.6048 6.22011)	3	4	3	4	3	4
POINT (-75.592 6.19969)	2	0	2	0	4	0
POINT (-75.5833 6.23261)	4	0	3	0	2	0
POINT (-75.5833 6.23261)	2	0	2	0	3	0
POINT (-75.5833 6.23261)	2	0	2	0	3	4
POINT (-75.592 6.19607)	3	0	1	4	2	4
POINT (-75.592 6.19607)	2	0	2	0	2	0
POINT (-75.592 6.19607)	2	1	1	1	2	1
POINT (-75.5942 6.20078)	2	0	2	0	2	0
POINT (-75.5942 6.20078)	1	0	2	0	2	0
POINT (-75.5942 6.20078)	2	0	2	1	3	4
POINT (-75.5818 6.20134)	1	0	2	0	2	0
POINT (-75.5818 6.20134)	1	0	1	0	1	0
POINT (-75.5829 6.20178)	1	1	2	1	1	1
POINT (-75.588 6.22142)	2	1	2	1	2	4
POINT (-75.5845 6.20359)	2	0	2	1	3	0
POINT (-75.5881 6.22218)	4	4	4	4	4	4
POINT (-75.588 6.22142)	3	0	3	0	2	0
POINT (-75.592 6.19969)	2	0	2	0	2	0
POINT (-75.5825 6.30413)	2	0	2	0	2	0
POINT (-75.5845 6.20359)	2	4	3	0	3	0
POINT (-75.5932 6.20052)	2	1	2	0	3	0
POINT (-75.5932 6.20052)	2	0	2	0	3	4
POINT (-75.5866 6.22736)	2	0	2	0	2	0
POINT (-75.588 6.22142)	2	0	2	0	3	0
POINT (-75.5829 6.20178)	3	1	1	0	2	0
POINT (-75.6084 6.22405)	2	0	2	0	2	0
POINT (-75.6084 6.22405)	2	0	2	1	2	1
POINT (-75.5946 6.2011)	2	0	2	0	2	4
POINT (-75.5833 6.23261)	2	0	2	0	3	0
POINT (-75.5833 6.23261)	1	0	1	0	3	0
POINT (-75.5942 6.20078)	2	0	2	0	2	0
POINT (-75.5881 6.22218)	3	0	3	0	3	0
POINT (-75.592 6.19969)	1	1	2	0	2	1
POINT (-75.5835 6.20269)	2	0	2	4	3	4
POINT (-75.5835 6.20269)	1	0	1	0	1	0
POINT (-75.5836 6.20321)	2	0	2	0	1	0
POINT (-75.5898 6.21031)	2	1	2	0	2	0
POINT (-75.6048 6.22011)	2	0	2	0	2	0
POINT (-75.5845 6.20359)	2	0	2	0	3	0
POINT (-75.592 6.19607)	2	0	2	0	2	0
POINT (-75.5915 6.19429)	2	0	2	0	2	1
POINT (-75.5815 6.22028)	2	0	2	4	3	4
POINT (-75.5815 6.22028)	1	0	1	1	2	0
POINT (-75.6169 6.2055833)	2	0	2	0	2	0
POINT (-75.6169 6.2055833)	2	0	2	0	3	0
POINT (-75.6169 6.2055833)	2	4	3	0	3	4
POINT (-75.6169 6.2055833)	2	0	2	0	2	0
POINT (-75.5829 6.20178)	1	1	3	0	2	4
POINT (-75.5932 6.20052)	3	4	3	0	3	0
POINT (-75.5843 6.22132)	2	1	2	0	3	0
POINT (-75.5976 6.21166)	2	4	3	4	3	4
POINT (-75.5976 6.21166)	2	1	2	1	2	0
POINT (-75.5976 6.21166)	2	0	2	0	2	0
POINT (-75.5826 6.223)	2	0	2	0	2	0
POINT (-75.5932 6.20052)	2	1	2	1	2	1
POINT (-75.5881 6.22218)	2	0	2	0	2	0
POINT (-75.592 6.19969)	2	0	2	0	3	0
POINT (-75.5873 6.22368)	3	4	3	0	3	0
POINT (-75.5749 6.28751)	2	0	3	0	4	4
POINT (-75.6169 6.2055833)	2	0	2	0	2	0
POINT (-75.5915 6.19429)	2	0	2	0	2	0
POINT (-75.5915 6.19429)	2	1	1	1	2	4
POINT (-75.6001 6.22766)	2	0	2	0	2	0
POINT (-75.5845 6.20359)	2	0	2	0	3	0
POINT (-75.5946 6.2011)	1	0	1	0	2	0
POINT (-75.5836 6.20321)	1	0	2	0	2	0
POINT (-75.5835 6.20269)	2	0	2	0	2	0
POINT (-75.5818 6.20134)	2	0	2	0	2	0
POINT (-75.5818 6.20134)	2	0	2	0	3	0
POINT (-75.5818 6.20134)	2	0	2	1	2	1
POINT (-75.5881 6.22218)	2	0	2	0	2	0
POINT (-75.6048 6.22011)	2	0	2	0	3	0
POINT (-75.5826 6.223)	2	0	1	0	2	0
POINT (-75.5932 6.20052)	2	0	2	0	3	0
POINT (-75.592 6.19969)	1	0	1	0	2	1
POINT (-75.592 6.19607)	2	0	2	0	2	0
POINT (-75.592 6.19607)	2	1	2	1	2	1
POINT (-75.6169 6.2055833)	2	0	2	0	2	0
POINT (-75.5825 6.30413)	1	0	2	0	1	0
POINT (-75.5825 6.30413)	2	0	2	0	3	0
POINT (-75.5825 6.30413)	2	0	2	0	3	0
POINT (-75.5825 6.30413)	2	0	2	0	2	0
POINT (-75.5825 6.30413)	2	0	2	0	3	0
POINT (-75.5946 6.2011)	2	0	2	0	1	0
POINT (-75.5884 6.20838)	3	4	3	4	3	4
POINT (-75.5857 6.22265)	2	0	2	0	2	0
POINT (-75.5857 6.22265)	2	0	2	0	2	0
POINT (-75.5749 6.28751)	2	1	2	0	2	0
POINT (-75.5749 6.28751)	2	0	2	0	2	0
POINT (-75.6001 6.22766)	2	1	2	1	2	1
POINT (-75.5818 6.20134)	2	0	2	0	3	0
POINT (-75.5815 6.22028)	2	1	3	1	2	1
POINT (-75.5915 6.19429)	2	1	2	0	2	1
POINT (-75.5915 6.19429)	2	0	2	0	2	0
POINT (-75.5833 6.23261)	2	0	2	4	3	0
POINT (-75.5842 6.22792)	3	0	3	0	3	0
POINT (-75.5834 6.30392)	1	0	1	0	2	0
POINT (-75.5946 6.2011)	2	0	2	0	3	4
POINT (-75.5866 6.22218)	2	4	2	0	3	0
POINT (-75.5869 6.22182)	2	4	2	4	2	4
POINT (-75.5869 6.22182)	3	4	4	4	2	0
POINT (-75.5797 6.29859)	2	0	2	1	2	0
POINT (-75.5898 6.21031)	3	4	3	4	4	0
POINT (-75.5843 6.22132)	2	0	2	0	3	0
POINT (-75.5884 6.20838)	2	0	2	0	2	4
POINT (-75.5769 6.30641)	2	0	2	0	2	0
POINT (-75.5744 6.28392)	2	0	2	0	2	0
POINT (-75.5744 6.28392)	2	0	2	0	3	0
POINT (-75.5593 6.30751)	2	0	2	0	3	0
POINT (-75.5767 6.29906)	2	0	2	0	3	0
POINT (-75.6052 6.23461)	2	4	2	4	2	4
POINT (-75.6069 6.22468)	2	1	2	0	1	1
POINT (-75.6069 6.22468)	2	1	2	0	2	0
POINT (-75.5868 6.20219)	1	0	2	0	2	0
POINT (-75.5868 6.20219)	2	1	2	1	2	1
POINT (-75.5769 6.30641)	2	0	2	0	2	0
POINT (-75.582 6.29642)	2	0	2	0	2	0
POINT (-75.582 6.29642)	2	0	2	0	2	0
POINT (-75.5797 6.29859)	2	0	2	0	2	0
POINT (-75.5815 6.30103)	2	0	2	0	3	0
POINT (-75.5815 6.30103)	2	0	2	0	3	0
POINT (-75.5703 6.30828)	2	0	2	0	2	0
POINT (-75.5703 6.30828)	2	0	2	0	2	1
POINT (-75.5703 6.30828)	1	0	2	0	3	1
POINT (-75.5767 6.29906)	2	0	2	0	2	0
POINT (-75.6062 6.22587)	1	0	2	0	2	0
POINT (-75.5815 6.22028)	2	4	3	0	4	0
POINT (-75.5769 6.30641)	2	0	2	0	3	0
POINT (-75.5653 6.30496)	2	4	2	4	3	4
POINT (-75.5807 6.20168)	2	0	3	0	3	0
POINT (-75.5807 6.20168)	1	0	2	0	3	0
POINT (-75.5807 6.20168)	3	0	3	0	3	1
POINT (-75.5807 6.20168)	1	0	2	1	3	0
POINT (-75.5586 6.30601)	2	0	2	0	2	0
POINT (-75.5586 6.30601)	2	0	4	0	3	0
POINT (-75.5586 6.30601)	2	0	2	1	3	0
POINT (-75.582 6.29642)	1	0	2	0	3	0
POINT (-75.5797 6.29859)	4	4	4	0	4	0
POINT (-75.5793 6.28569)	2	0	2	0	2	0
POINT (-75.5793 6.28569)	3	0	3	0	3	0
POINT (-75.5793 6.28569)	2	1	2	0	2	0
POINT (-75.5909 6.22912)	2	4	2	1	2	0
POINT (-75.5769 6.30641)	2	1	2	4	2	1
POINT (-75.5873 6.22368)	2	0	2	0	2	0
POINT (-75.5873 6.22368)	1	0	1	0	2	0
POINT (-75.5744 6.28392)	2	4	2	4	3	4
POINT (-75.5744 6.28392)	2	0	2	0	2	0
POINT (-75.5884 6.20838)	2	0	2	0	2	0
POINT (-75.5767 6.29906)	2	4	3	0	4	0
POINT (-75.5769 6.30641)	2	1	2	0	2	1
POINT (-75.582 6.29642)	2	1	2	1	2	1
POINT (-75.582 6.29642)	2	0	2	0	2	0
POINT (-75.5744 6.28392)	2	0	2	0	2	1
POINT (-75.5797 6.29859)	1	0	1	0	3	0
POINT (-75.5884 6.20838)	2	0	2	0	2	0
POINT (-75.5753 6.29574)	2	0	3	0	3	0
POINT (-75.5753 6.29574)	1	0	1	0	2	0
POINT (-75.5753 6.29574)	1	1	1	1	2	1
POINT (-75.5703 6.30828)	1	0	2	0	2	0
POINT (-75.5703 6.30828)	1	1	2	1	3	0
POINT (-75.5703 6.30828)	1	1	2	0	2	0
POINT (-75.6048 6.22011)	2	0	2	0	3	1
POINT (-75.6048 6.22011)	2	0	2	0	2	0
POINT (-75.6048 6.22011)	4	0	2	0	3	0
POINT (-75.5807 6.20168)	1	0	1	1	2	0
POINT (-75.5807 6.20168)	2	0	2	0	2	0
POINT (-75.5769 6.30641)	3	0	3	0	3	0
POINT (-75.5843 6.22132)	2	4	2	0	3	4
POINT (-75.5843 6.22132)	2	1	2	0	1	0
POINT (-75.5905 6.28567)	2	0	2	0	2	4
POINT (-75.5905 6.28567)	2	1	2	0	3	0
POINT (-75.5905 6.28567)	2	0	2	1	2	0
POINT (-75.5905 6.28567)	2	0	2	0	2	0
POINT (-75.5905 6.28567)	4	0	4	0	4	0
POINT (-75.5905 6.28567)	2	4	2	0	2	4
POINT (-75.5586 6.30601)	1	0	2	0	2	0
POINT (-75.5586 6.30601)	2	0	2	0	2	0
POINT (-75.5586 6.30601)	2	0	2	0	3	0
POINT (-75.5815 6.30103)	2	0	2	0	3	0
POINT (-75.5815 6.30103)	2	0	3	0	4	0
POINT (-75.5898 6.21031)	2	4	2	0	3	0
POINT (-75.5898 6.21031)	2	0	4	0	3	0
POINT (-75.5805 6.29946)	2	0	2	0	2	0
POINT (-75.5744 6.28392)	2	1	2	0	3	4
POINT (-75.5793 6.28569)	2	0	2	0	3	4
POINT (-75.5793 6.28569)	2	0	2	0	3	1
POINT (-75.5793 6.28569)	2	0	2	0	2	0
POINT (-75.5653 6.30496)	2	4	2	4	4	4
POINT (-75.5919 6.19488)	2	0	2	0	3	1
POINT (-75.5919 6.19488)	1	1	1	1	1	1
POINT (-75.5919 6.19488)	1	0	1	0	1	0
POINT (-75.5737 6.30044)	3	0	2	0	3	0
POINT (-75.5737 6.30044)	2	0	2	0	2	0
POINT (-75.5909 6.22912)	2	0	2	0	3	0
POINT (-75.5909 6.22912)	2	0	2	0	2	4
POINT (-75.5909 6.22912)	2	0	2	0	2	0
POINT (-75.5696 6.30673)	2	0	2	0	3	0
POINT (-75.5805 6.29946)	1	1	1	0	3	0
POINT (-75.5787 6.28618)	1	0	2	1	3	4
POINT (-75.5787 6.28618)	2	0	2	0	3	0
POINT (-75.5787 6.28618)	2	0	2	0	2	0
POINT (-75.582 6.29642)	2	0	2	0	2	0
POINT (-75.6069 6.22468)	2	0	2	0	3	0
POINT (-75.5772 6.30574)	2	0	2	0	2	0
POINT (-75.5829 6.20178)	2	0	2	0	3	4
POINT (-75.5829 6.20178)	2	0	4	0	2	0
POINT (-75.5655 6.31097)	2	0	2	0	3	4
POINT (-75.5655 6.31097)	1	1	1	0	1	0
POINT (-75.5655 6.31097)	3	0	2	0	4	4
POINT (-75.5655 6.31097)	2	0	2	0	2	0
POINT (-75.5655 6.31097)	2	0	2	4	2	4
POINT (-75.5815 6.30103)	3	0	3	0	3	0
POINT (-75.5987 6.2269)	2	0	2	0	2	0
POINT (-75.5639 6.29582)	2	1	2	0	4	0
POINT (-75.5767 6.29906)	2	0	1	0	3	0
POINT (-75.5772 6.30574)	2	0	1	0	1	0
POINT (-75.5644 6.31042)	2	0	3	0	3	4
